UUID;OBJEKTART;OBJEKTKLASSE_TLM;KUNSTBAUTE;NAME_UUID;NAME;STATUS;SPRACHCODE;NAMEN_TYP;NAMENGRUPPE_UUID;E;N;Z
{9079834D-7B98-4B06-AA1B-433F92D04B52};Strasse;TLM_STRASSE;Bruecke;{2D29E0F6-B50D-4CA8-A672-13D990750900};Ponts sur la Dia;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2546254;1190240;505
{CBBE6A18-2A6E-4729-8C0A-EE32DB010AF2};Strasse;TLM_STRASSE;Bruecke;{2D29E0F6-B50D-4CA8-A672-13D990750900};Ponts sur la Dia;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2546255;1190220;503
{0C2C7CBE-EF24-4FCC-9DDB-9226271A14D7};Strasse;TLM_STRASSE;Bruecke;{DC678DF5-7F9B-49A7-9FA1-1E91288CFB2B};Hoflanderebrügg;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2591644;1173899;919
{20B35985-864B-4E55-A396-A9084F2A1DBA};Strasse;TLM_STRASSE;Keine;{4C051159-7BFB-4318-B112-7934BCA33E77};Büelweg;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2678046;1280549;495
{40DA0D86-4C28-4B36-9800-D9C32BB5F297};Strasse;TLM_STRASSE;Tunnel;{A7EDE41A-F966-4CFC-A9EF-8D1D63DC795A};Galleria Land;offiziell;Italienisch inkl. Lokalsprachen;Einfacher Name;;2736931;1144187;1392
{EC978A93-6519-44E1-91BC-C0877CDE938D};Strasse;TLM_STRASSE;k_W;{36A672C2-AB78-42AB-84F4-07369E753513};Oberwald-Realp (Furka);offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2677738;1154125;1464
{AC2A895B-2853-42DC-95B8-3104C8EDF912};Strasse;TLM_STRASSE;Bruecke;{4586F1B2-9338-4698-9B03-FC3EAFBD49FD};Golbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2641821;1174283;660
{5EB62DDC-09CF-41C1-8AA6-BDF6BA78BF75};Strasse;TLM_STRASSE;Bruecke;{F83C7441-06E6-42B9-9117-A1E694DF4BCB};Gabibrücke 1;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2649762;1115147;1186
{AC7EC59B-4E0F-4DCC-BF32-EE3E8B68040D};Strasse;TLM_STRASSE;Bruecke;{5B8CE64E-0EF3-45BA-8F06-C0A90EC4F927};Holsesgrabenviadukt;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2638407;1171969;632
{28E3E25C-2EB7-443F-8DB0-0FD49636B439};Strasse;TLM_STRASSE;Bruecke;{026182AA-D44D-46B5-9788-4EEB95D723EC};Grosse Schliere-Brücke;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2663826;1197925;465
{946E5B45-8551-4454-B2C8-47E555107261};Strasse;TLM_STRASSE;Bruecke;{5A222BA7-E4B4-4A70-A22C-2B6FA93E2E77};Bächgrabenbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2645704;1129425;1167
{0FDD9F9D-E524-4F47-8753-9A06E70C4A45};Strasse;TLM_STRASSE;Bruecke;{13C7CFC2-FE32-45E3-8AC5-2F5529FCF984};Viaducs de la Communance;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2592063;1244604;433
{FC82409C-CE22-48AA-A5E3-6E4E7E30C464};Strasse;TLM_STRASSE;Bruecke;{13C7CFC2-FE32-45E3-8AC5-2F5529FCF984};Viaducs de la Communance;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2592065;1244607;433
{1200C765-5C56-41A7-8FE8-13770F5E4D11};Strasse;TLM_STRASSE;Bruecke;{E9F8E1BE-25D1-4599-A277-8809D90015F5};Chappelebrügg;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2595596;1201595;494
